PREDATOR,PREY,source,pred_lifestage,prey_lifestage,area,ref,notes,Quality,yref
Agonus cataphractus,Crangon crangon,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940
Agonus cataphractus,Crangon crangon,Diet,NA,NA,North Sea,"Klimpel, S., Seehagen, A., & Palm, H. W. (2003). Metazoan parasites and feeding behaviour of four small-sized fish species from the central North Sea. Parasitology Research, 91(4), 290-297.",NA,1,2003
Agonus cataphractus,Crangon crangon,GlobiDataBase,NA,NA,North Sea,"Hall SJ, Raffaelli D (1991) Food-web patterns: lessons from a species-rich web. J Anim Ecol 60:823-842",NA,4,1991
Agonus cataphractus,Crangon crangon,GlobiDataBase,NA,NA,North Sea,"Huxham M, Beany S, Raffaelli D (1996) Do parasites reduce the chances of triangulation in a real food web? Oikos 76:284-300",NA,4,1996
Agonus cataphractus,Crangon crangon,GlobiDataBase,NA,NA,NA,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",NA,4,2014
Agonus cataphractus,Pagurus bernhardus,Diet,NA,NA,North Sea,"Klimpel, S., Seehagen, A., & Palm, H. W. (2003). Metazoan parasites and feeding behaviour of four small-sized fish species from the central North Sea. Parasitology Research, 91(4), 290-297.",NA,1,2003
Alosa fallax,Crangon crangon,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018
Alosa fallax,Crangon crangon,GlobiDataBase,NA,NA,North Sea,"Moreira, F. et al. (1992). Trophic relationships in the community of the upper Tagus estuary (Portugal): a preliminary approach. Estuarine, Coastal and Shelf Science, 34(6), 617-623.",NA,4,1992
Alosa fallax,Detritus,FishBase,adults,NA,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018
Alosa fallax,Engraulis encrasicolus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018
Alosa fallax,Engraulis encrasicolus,GlobiDataBase,NA,NA,North Sea,"Assis, C. A. et al. (1992). Diet of the twaite shad Alosa fallax (Lacépède)(Clupeidae) in the River Tagus estuary, Portugal. Journal of Fish Biology, 41(6), 1049-1050.",NA,4,1992
Alosa fallax,Hyperoplus lanceolatus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).","Feeds on several species that belongs or belonged to genus ""Ammodytes""",4,2018
Alosa fallax,Macrophyta,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940
Alosa fallax,Pomatoschistus minutus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018
