"TROPHOSPECIES","AphiaID","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Suborder","Infraorder","Parvorder","Section","Subsection","Superfamily","Family","Subfamily","Tribe","Genus","Subgenus","Species","Abb"
"Agonus cataphractus",127190,"Animalia","Chordata","Vertebrata","Pisces","Actinopterygii",NA,NA,NA,NA,"Scorpaeniformes","Cottoidei",NA,NA,NA,NA,NA,"Agonidae","Agoninae",NA,"Agonus",NA,"Agonus cataphractus","Ago_cat"
"Alosa fallax",126415,"Animalia","Chordata","Vertebrata","Pisces","Actinopterygii",NA,NA,NA,NA,"Clupeiformes",NA,NA,NA,NA,NA,NA,"Clupeidae",NA,NA,"Alosa",NA,"Alosa fallax","Alo_fal"
"Amphiura filiformis",125080,"Animalia","Echinodermata","Asterozoa",NA,"Ophiuroidea",NA,NA,NA,NA,"Ophiurida","Ophiurina","Gnathophiurina",NA,NA,NA,NA,"Amphiuridae",NA,NA,"Amphiura",NA,"Amphiura filiformis","Amp_fil"
"Aphrodita aculeata",129840,"Animalia","Annelida",NA,NA,"Polychaeta","Errantia",NA,NA,NA,"Phyllodocida","Aphroditiformia",NA,NA,NA,NA,NA,"Aphroditidae",NA,NA,"Aphrodita",NA,"Aphrodita aculeata","Aph_acu"
"Aporrhais pespelecani",138760,"Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda",NA,NA,NA,"Littorinimorpha",NA,NA,NA,NA,NA,"Stromboidea","Aporrhaidae",NA,NA,"Aporrhais",NA,"Aporrhais pespelecani","Apo_pes"
"Arnoglossus laterna",127126,"Animalia","Chordata","Vertebrata","Pisces","Actinopterygii",NA,NA,NA,NA,"Pleuronectiformes",NA,NA,NA,NA,NA,NA,"Bothidae",NA,NA,"Arnoglossus",NA,"Arnoglossus laterna","Arn_lat"
"Asterias rubens",123776,"Animalia","Echinodermata","Asterozoa",NA,"Asteroidea",NA,NA,NA,"Forcipulatacea","Forcipulatida",NA,NA,NA,NA,NA,NA,"Asteriidae",NA,NA,"Asterias",NA,"Asterias rubens","Ast_rub"
"Astropecten irregularis",123867,"Animalia","Echinodermata","Asterozoa",NA,"Asteroidea",NA,NA,NA,"Valvatacea","Paxillosida",NA,NA,NA,NA,NA,NA,"Astropectinidae",NA,NA,"Astropecten",NA,"Astropecten irregularis","Ast_irr"
"Bacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Bacter"
"Buglossidium luteum",127153,"Animalia","Chordata","Vertebrata","Pisces","Actinopterygii",NA,NA,NA,NA,"Pleuronectiformes",NA,NA,NA,NA,NA,NA,"Soleidae",NA,NA,"Buglossidium",NA,"Buglossidium luteum","Bug_lut"
"Callionymus lyra",126792,"Animalia","Chordata","Vertebrata","Pisces","Actinopterygii",NA,NA,NA,NA,"Perciformes","Callionymoidei",NA,NA,NA,NA,NA,"Callionymidae",NA,NA,"Callionymus",NA,"Callionymus lyra","Cal_lyr"
"Chelidonichthys lucerna",127262,"Animalia","Chordata","Vertebrata","Pisces","Actinopterygii",NA,NA,NA,NA,"Scorpaeniformes","Platycephaloidei",NA,NA,NA,NA,NA,"Triglidae",NA,NA,"Chelidonichthys",NA,"Chelidonichthys lucerna","Che_luc"
"Clupea harengus",126417,"Animalia","Chordata","Vertebrata","Pisces","Actinopterygii",NA,NA,NA,NA,"Clupeiformes",NA,NA,NA,NA,NA,NA,"Clupeidae",NA,NA,"Clupea",NA,"Clupea harengus","Clu_har"
"Corystes cassivelaunus",107277,"Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca",NA,NA,"Eucarida","Decapoda","Pleocyemata","Brachyura",NA,"Eubrachyura","Heterotremata","Corystoidea","Corystidae",NA,NA,"Corystes",NA,"Corystes cassivelaunus","Cor_cas"
"Crangon allmanni",107551,"Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca",NA,NA,"Eucarida","Decapoda","Pleocyemata","Caridea",NA,NA,NA,"Crangonoidea","Crangonidae",NA,NA,"Crangon",NA,"Crangon allmanni","Cra_all"
"Crangon crangon",107552,"Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca",NA,NA,"Eucarida","Decapoda","Pleocyemata","Caridea",NA,NA,NA,"Crangonoidea","Crangonidae",NA,NA,"Crangon",NA,"Crangon crangon","Cra_cra"
"Detritus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Detritus","Detrit"
