metric,rep_name,term,estimate,correlation,variance_explained
robustness,complexity,complexity,-0.1076489800742563,-0.10882042080535105,0.011714407310947422
robustness,medoids,links,0.08208231659300229,0.11848101146576535,0.009725195893392087
robustness,medoids,S1,-0.1190463890311585,-0.10724734039080401,0.012767408606720732
robustness,medoids,distance,-0.053259136348447464,-0.05311633868988403,0.002828930324614849
robustness,medoids,GenSD,0.05256096433703993,0.16859584719168874,0.008861560311615386
robustness,medoids,top,-0.10628026632165763,-0.09617708890790973,0.01022172662317439
robustness,medoids,centrality,-0.06985992294654113,-0.12246609338511724,0.0085554718474482
robustness,dominant,ChLen,-0.2554618278447257,-0.0717646335650568,0.018333124465136366
robustness,dominant,links,0.23028123799574757,0.11848101146576535,0.027283953999324807
robustness,dominant,top,-0.1497291123284649,-0.09617708890790973,0.01440051014851717
robustness,dominant,herbivory,-0.05127642542645343,-0.04149583782001892,0.002127758233486406
robustness,dominant,distance,-0.04237178485814181,-0.05311633868988403,0.0022506340754199603
robustness,pca_score,PC1,-0.14178127551225866,-0.17247384363323867,0.02445356154282243
robustness,pca_score,PC2,-0.14907444232322223,-0.17976701044420218,0.026798666830082307
robustness,pca_score,PC3,-0.11053660123847574,-0.14122916935945576,0.015610992376727317
robustness,pca_score,PC4,0.0,-0.026278630131333823,-0.0
robustness,pca_score,PC5,0.0,-0.026350379012425016,-0.0
robustness,may,may_term,-0.10238368019966856,-0.1030617577457942,0.010551842045861107
ρ,complexity,complexity,-0.6006584534429621,-0.6046576230317133,0.3631927127127265
ρ,medoids,links,-0.026887928934726666,-0.16465985561975535,0.004427362496306335
ρ,medoids,S1,0.3876566736466002,0.5826922333178175,0.2258845329276938
ρ,medoids,distance,0.0,-0.12330144860227295,-0.0
ρ,medoids,GenSD,0.0,-0.3814164328700545,-0.0
ρ,medoids,top,-0.12072082605539877,-0.4626800054018851,0.05585511245143193
ρ,medoids,centrality,0.2773750853898628,0.4561883041848381,0.12653526982712615
ρ,dominant,ChLen,0.42663578413454234,0.3511380827558614,0.14980807127604676
ρ,dominant,links,-0.4108436738025482,-0.16465985561975535,0.06764946001061746
ρ,dominant,top,-0.34299678908688325,-0.4626800054018851,0.1586977562275484
ρ,dominant,herbivory,-0.06195268056152044,-0.14081556465858475,0.008723901695383427
ρ,dominant,distance,0.02332185469449615,-0.12330144860227295,-0.002875618467923095
ρ,pca_score,PC1,0.4221531886151789,0.45542460164902276,0.19225894775993263
ρ,pca_score,PC2,0.43627576333657525,0.4706602273417933,0.2053376499557069
ρ,pca_score,PC3,-0.5035453582778208,-0.5432315813085992,0.2735417412378657
ρ,pca_score,PC4,-0.106172030459385,-0.11453983052183124,0.012160926374976663
ρ,pca_score,PC5,0.14435093968229384,0.15572775706876904,0.022479448067492788
ρ,may,may_term,-0.15844332747703144,-0.15949268282825624,0.025270551375547713
control,complexity,complexity,0.25999284354027435,0.26169764174283544,0.06803951402450378
control,medoids,links,0.0,0.09557993868770102,0.0
control,medoids,S1,-0.3014175409614496,-0.6852248076995672,0.20653877654258573
control,medoids,distance,0.0,0.07116393248349695,0.0
control,medoids,GenSD,0.4466819391081903,0.7615549940150153,0.34017286146415326
control,medoids,top,0.0,0.1299248154561412,0.0
control,medoids,centrality,0.0,-0.21426173635626442,-0.0
control,dominant,ChLen,-0.9637637066372493,-0.6575367820815864,0.633710086349279
control,dominant,links,0.6145530777676301,0.09557993868770102,0.05873894549336805
control,dominant,top,-0.15106321511153392,0.1299248154561412,-0.019626860345577406
control,dominant,herbivory,0.12001638957906662,0.30376647970370524,0.03645695616918152
control,dominant,distance,-0.003824939905286577,0.07116393248349695,-0.0002721977651732472
control,pca_score,PC1,-0.7259424127227756,-0.7993123737419287,0.5802547531133846
control,pca_score,PC2,-0.3332260355070876,-0.3988627623276899,0.13291145700186185
control,pca_score,PC3,-0.011835892335076063,-0.07114391632979745,0.0008420517339751424
control,pca_score,PC4,-0.0628092232990665,-0.12312099638370262,0.0077331341546675375
control,pca_score,PC5,0.0,-0.04037060762684815,-0.0
control,may,may_term,0.2416912893422119,0.24329198816528097,0.05880155430629692
resilience,complexity,complexity,-0.04439370267078403,-0.04468771801494565,0.0019838532665913365
resilience,medoids,links,-0.031619932308542445,-0.045465430336333455,0.001437613829613616
resilience,medoids,S1,-0.13914744116916267,-0.4860723105719282,0.06763571823926634
resilience,medoids,distance,0.0,-0.0016782700036326937,-0.0
resilience,medoids,GenSD,0.6889961470750614,0.8051959495991287,0.554776906914245
resilience,medoids,top,-0.14434246697849634,-0.21515669171464782,0.03105624766902407
resilience,medoids,centrality,0.06961707216085938,-0.05895747298971127,-0.004104446651546648
resilience,dominant,ChLen,-0.994855704484657,-0.5937961271268548,0.5907414643730481
resilience,dominant,links,0.38974156330087373,-0.045465430336333455,-0.01771976789542957
resilience,dominant,top,-0.5040802850021381,-0.21515669171464782,0.10845624647963684
resilience,dominant,herbivory,-0.13402202803313268,0.1030062722211622,-0.013805109503213096
resilience,dominant,distance,0.06255047152287929,-0.0016782700036326937,-0.00010497658006992934
resilience,pca_score,PC1,-0.6939404115592716,-0.7456866195239393,0.5174620796466844
resilience,pca_score,PC2,-0.24331481990114978,-0.26145848045436615,0.06361672308338238
resilience,pca_score,PC3,-0.4291216664808922,-0.46112069496515407,0.19787688107227408
resilience,pca_score,PC4,0.11544689419592255,0.12405561462267156,0.014321835415753706
resilience,pca_score,PC5,0.14477250988438894,0.15556800223395753,0.022521970141110258
resilience,may,may_term,0.2118017708577693,0.21324276202737155,0.045165194619999176
