metric,rep_name,alpha,lambda,r2,rmse
robustness,complexity,0.5,0.00376132671775635,0.48687691991866466,0.6059571635122206
robustness,medoids,0.75,0.000827153742334245,0.47085143452844236,0.645210410526151
robustness,dominant,1.0,0.0009712054389066959,0.42093484708500606,0.7003026280389658
robustness,pca_score,1.0,0.06496730797042703,0.5862729797731807,0.42321572510933275
robustness,may,0.25,0.0019395517949437632,0.038279494930979485,0.7595787852749274
ρ,complexity,0.75,0.004289739176967315,0.5403995668011843,0.7286254166311493
ρ,medoids,0.75,0.24616774088406743,0.6783650168806272,0.477787833025842
ρ,dominant,1.0,0.00205423256721786,0.7001411484279474,0.3839019429141768
ρ,pca_score,0.0,0.10593986993920251,0.8713591405576067,0.3292202412066646
ρ,may,0.5,0.0018008951489069326,0.07765290718777129,0.7822192836467494
control,complexity,1.0,0.0015047800856136243,0.18729303843645806,0.7522948340434066
control,medoids,0.25,0.007721115405137523,0.9054140132646283,0.3151775206390566
control,dominant,1.0,0.0024511024504942974,0.9421135361126569,0.2821240153147446
control,pca_score,1.0,0.05932860903227905,0.9158780098734939,0.3158976080075813
control,may,0.25,0.003491420382984777,0.12699375600118268,0.9245628218498524
resilience,complexity,0.5,0.0010423953835137563,0.01354009450314575,0.8149413210485607
resilience,medoids,1.0,0.0012197515144230545,0.905529497735201,0.33779366315642845
resilience,dominant,0.25,0.003160187243071413,0.8333423923736724,0.5566470551221037
resilience,pca_score,0.5,0.10124681309564261,0.9611661830188949,0.2592081225238932
resilience,may,1.0,0.0012079894810910399,0.1123823736910633,0.696307281176644
