id,richness,links,connectance,diameter,complexity,distance,basal,top,intermediate,predpreyRatio,herbivory,omnivory,cannibal,l_S,GenSD,VulSD,TL,ChLen,ChSD,ChNum,path,LinkSD,S1,S2,S4,S5,ρ,centrality,loops,robustness,intervals,MaxSim,Clust
benguela,29,203,0.2413793103448276,4,0.8552680224502017,1.0,0.06896551724137931,0.0,0.9310344827586207,1.0740740740740742,0.06896551724137931,0.8620689655172413,0.2413793103448276,7.0,0.8789736925452256,0.727430078392719,3.183843975518488,0.0,NaN,0.0,1.1162790697674418,0.8238917571048725,0.31985731272294887,0.5291319857312723,0.464922711058264,0.5517241379310345,1.1290732487005353,0.034482758620689655,0.27586206896551724,0.4827586206896552,28,0.6581139179582605,0.6093370602802652
bridge_brook,25,107,0.1712,3,0.8570054443871735,3.0,0.32,0.0,0.68,1.4705882352941178,0.28,0.4,0.12,4.28,1.0948948143794375,0.6126962434647021,1.989278395663476,0.0,NaN,0.0,1.3726708074534162,0.9752632371873671,0.2896,0.1504,0.2224,0.4992,1.007466625211304,0.04000000000000001,0.12,0.48,1,0.7069318459318461,0.36576462426462425
broom,85,223,0.030865051903114185,3,0.922146683573375,1.0,0.011764705882352941,0.5882352941176471,0.4,0.4166666666666667,0.2235294117647059,0.3176470588235294,0.047058823529411764,2.623529411764706,0.9645984567933853,1.9814487624624852,2.907387273427889,3.3445228395061726,0.4583817950502575,3.912023005428146,1.0223214285714286,2.22629240075989,0.045397923875432525,0.03695501730103806,0.14283737024221455,0.023667820069204152,0.8661983563893964,0.011764705882352941,0.047058823529411764,0.3058823529411765,24,0.5160065556722547,0.2753307437242018
canton,102,697,0.06699346405228758,4,0.9084727744206074,3.0,0.5294117647058824,0.2549019607843137,0.21568627450980393,1.5833333333333333,0.39215686274509803,0.0784313725490196,0.00980392156862745,6.833333333333333,1.3951856146700141,1.2646046353785527,1.5123588383809161,2.0688065340620425,0.23392119345956214,3.258096538021482,1.1644171779141104,1.3727266252967258,0.06881968473663976,0.01114955786236063,0.5467128027681661,0.6242791234140715,0.7396882014516339,0.00980392156862745,0.00980392156862745,0.5098039215686274,621,0.5265230611769819,0.0582962838074322
chesapeake,31,68,0.07075962539021852,5,0.9212400633049673,2.0,0.16129032258064516,0.3225806451612903,0.5161290322580645,0.8076923076923077,0.1935483870967742,0.5161290322580645,0.03225806451612903,2.193548387096774,0.7575456636572818,1.1315887413653314,2.479176622859418,3.1915586419753086,0.5776079523321311,2.302585092994046,1.0,1.1138739199627763,0.08324661810613944,0.021852237252861603,0.11550468262226847,0.05723204994797086,0.7015991300020061,0.03225806451612904,0.03225806451612903,0.3870967741935484,11,0.5029500069822651,0.2381080389144905
coachella,29,262,0.31153388822829964,4,0.8267812346995317,2.0,0.10344827586206896,0.0,0.896551724137931,1.1153846153846154,0.06896551724137931,0.8275862068965517,0.6551724137931034,9.03448275862069,0.7261143175935337,0.6015356782375944,2.4822763619210595,0.0,NaN,0.0,1.1637630662020906,0.7273392672037509,0.33174791914387636,0.6967895362663495,0.3626634958382878,0.47443519619500596,1.2109292403337004,0.034482758620689655,0.7241379310344828,0.5172413793103449,58,0.7247862143431105,0.7819826041246989
el_verde,155,1509,0.0628095733610822,7,0.8951791263891339,4.0,0.18064516129032257,0.12903225806451613,0.6903225806451613,1.062992125984252,0.17419354838709677,0.5741935483870968,0.012903225806451613,9.735483870967743,1.2722680496307666,1.1322543535353335,2.916055127417484,3.7914414413333355,0.9495653147364741,2.995732273553991,1.944668684830138,1.8322769430998347,0.3567533818938606,0.11754422476586888,0.43883454734651406,0.4780437044745057,0.8321396138651949,0.0064516129032258064,0.45161290322580644,0.4064516129032258,2053,0.5137437711214532,0.21975786772251177
grass,61,97,0.026068261220102123,2,0.9585588464706749,1.0,0.13114754098360656,0.3114754098360656,0.5573770491803278,0.7924528301886793,0.2459016393442623,0.21311475409836064,0.0,1.5901639344262295,1.4675503059591444,1.0975290850199193,2.609140586189766,3.271451355661882,0.30663731342577116,2.9444389791664403,1.0,1.601276857924753,0.017737167428110722,0.007524858908895459,0.02472453641494222,0.04407417360924483,0.5320799002731444,0.016393442622950817,0.0,0.19672131147540983,5,0.37464338939748776,0.38400397416790855
little_rock,92,997,0.1177930056710775,6,0.8710848594189915,4.0,0.13043478260869565,0.010869565217391304,0.8586956521739131,1.1375,0.3695652173913043,0.41304347826086957,0.14130434782608695,10.83695652173913,1.428058404135326,0.6078424586437133,2.511721241029511,2.0,NaN,0.0,1.3324175824175823,1.4119253804141525,0.38031663516068054,0.39402173913043476,0.3233695652173913,1.2728024574669188,0.9421060399277537,0.010869565217391308,0.2717391304347826,0.30434782608695654,469,0.7413532746031403,0.49749463307908276
reef,50,556,0.2224,5,0.8744561284497262,3.0,0.06,0.0,0.94,1.0638297872340425,0.06,0.86,0.42,11.12,0.8957204526247531,0.6054786387936475,3.116327774735451,0.0,NaN,0.0,1.5909926470588236,0.9611464552431027,0.5792,0.6776,0.4412,0.8004,1.0885623789488534,0.02,0.62,0.52,301,0.5756445954946225,0.6736426889574507
shelf,79,1403,0.2248037173529883,8,0.8583083300125897,1.0,0.02531645569620253,0.0379746835443038,0.9367088607594937,0.987012987012987,0.189873417721519,0.7848101265822784,0.31645569620253167,17.759493670886076,0.8953241793233165,0.7334571485833153,3.004050826951004,3.9684273611906877,0.5519458671112949,1.0986122886681098,1.1267880364109233,0.8587639217655232,0.9054638679698767,1.6489344656305078,1.1528601185707419,1.6356353148533889,1.1123944235699998,0.012658227848101266,0.5063291139240507,0.4430379746835443,697,0.6979788790669855,0.6151325766334103
skipwith,25,197,0.3152,3,0.8252714206624185,3.0,0.04,0.04,0.92,1.0,0.32,0.6,0.32,7.88,0.916081935191571,0.5388048503583979,2.639281181285757,3.2604166666666665,NaN,0.0,1.1782608695652175,0.5998122993957602,0.2944,0.8384,0.4016,0.872,1.196326711219545,0.04000000000000001,0.32,0.44,26,0.7268099693997392,0.6580460089707634
